nom_complet,siren,nb_sites,nb_departements,departements
SOLEVAL FRANCE,501619878,21,20,"01, 02, 10, 11, 14, 31, 32, 35, 40, 41, 46, 47, 50, 55, 56, 61, 72, 76, 85, 91"
GROUPE BIGARD,776221467,15,14,"13, 21, 29, 47, 51, 59, 60, 62, 71, 74, 76, 80, 81, 94"
LES ELEVEURS DE LA CHARENTONNE,478753353,43,13,"14, 18, 27, 35, 41, 44, 45, 50, 53, 61, 75, 76, 78"
DANONE PRODUITS FRAIS FRANCE (D.P.F.F.),672039971,16,13,"13, 14, 31, 32, 37, 38, 46, 57, 59, 69, 76, 91, 92"
BEL (LA VACHE QUI RIT - FBSA) (F.B.S.A),542088067,17,13,"02, 21, 34, 38, 39, 41, 50, 53, 59, 69, 72, 92, 94"
SOCOPA VIANDES,508513785,14,12,"03, 22, 27, 29, 50, 53, 61, 67, 72, 79, 84, 85"
ELIVIA,344477468,17,11,"14, 38, 44, 49, 51, 53, 61, 62, 79, 85, 88"
EUROSERUM,400869277,12,11,"12, 25, 29, 39, 43, 57, 70, 71, 75, 80, 82"
COOPERL ARC ATLANTIQUE,383986874,24,10,"22, 29, 35, 38, 49, 53, 56, 61, 79, 94"
BSAD,506650092,13,10,"10, 22, 26, 29, 30, 35, 42, 44, 84, 89"
CHARAL,546950379,10,10,"14, 19, 29, 44, 49, 57, 61, 72, 79, 85"
MONDELEZ FRANCE BISCUITS PRODUCTION SAS (LF SAS),433085149,17,10,"02, 08, 24, 25, 31, 33, 44, 50, 91, 92"
CANDIA (C.SAS),352014955,9,9,"29, 38, 42, 44, 59, 63, 64, 69, 75"
COMPAGNIE DES FROMAGES ET RICHESMONTS (CF ET R),501645196,12,9,"01, 14, 43, 50, 55, 57, 61, 63, 92"
EURIAL,353543358,16,9,"26, 29, 36, 38, 44, 69, 79, 85, 86"
BOUCHERS SERVICES,317238061,9,8,"03, 08, 17, 22, 35, 37, 53, 57"
GRAND SALOIR SAINT-NICOLAS (LOSTE GRAND SALOIR-LOSTE TRADI-FRANCE-LE DOUESY-GRAND SALOIR SAINT NICOLAS CHARCUTIER),709200133,12,8,"12, 13, 35, 41, 49, 59, 75, 94"
SAIPOL (DIESTER),388021156,12,8,"10, 33, 34, 44, 60, 63, 75, 76"
EURIAL ULTRA FRAIS,705580108,9,8,"21, 29, 45, 54, 57, 60, 76, 89"
ENTREMONT ALLIANCE (E.A. SAS),325520450,13,8,"22, 35, 52, 56, 69, 74, 75, 76"
PATISFRANCE - PURATOS,552004236,8,8,"13, 33, 35, 44, 69, 88, 91, 94"
HERTA,311043194,7,7,"44, 60, 62, 67, 69, 77, 93"
FLORETTE FRANCE,451353734,8,7,"29, 50, 59, 66, 69, 71, 84"
LACTALIS NESTLE ULTRA-FRAIS MARQUES (L.N.U.F. MARQUES),350063384,8,7,"14, 42, 44, 53, 59, 75, 77"
SAS LIOT,622048437,10,7,"22, 27, 29, 53, 62, 85, 86"
CLAIR DE LORRAINE,344702071,16,7,"08, 54, 55, 57, 67, 68, 88"
GRAP'SUD,490364247,11,7,"11, 30, 32, 34, 51, 66, 83"
TRADIVAL,327641346,9,6,"03, 42, 43, 45, 87, 89"
MAS S.A.S.,389681628,19,6,"12, 15, 19, 46, 75, 94"
EURALIS GASTRONOMIE,601650146,7,6,"24, 56, 64, 65, 85, 94"
HUILERIE RICHARD,308065499,11,6,"04, 05, 26, 30, 38, 69"
SARVAL DRY,922496526,6,6,"22, 35, 44, 68, 92, 93"
YOPLAIT PRODUCTION FRANCE (NOBLEVAL - PLYF),400040283,6,6,"31, 38, 69, 72, 89, 92"
LES FROMAGERIES OCCITANES (LFO),397815754,19,6,"09, 12, 15, 31, 64, 94"
NUTRITION ET SANTE (MILICAL) (NS FRANCE),720801497,7,6,"04, 07, 26, 31, 32, 60"
DAT-SCHAUB FRANCE (DS-FRANCE),413724923,6,6,"22, 42, 45, 80, 86, 94"
M CHAPOUTIER,435580477,19,6,"07, 26, 30, 66, 69, 84"
ECLOR BOISSONS,808860316,10,6,"10, 14, 35, 61, 72, 76"
COMPAGNIE GENERALE D'EAUX DE SOURCE (C.G.E.S.),402571889,7,6,"01, 03, 24, 40, 45, 84"
COCA-COLA EUROPACIFIC PARTNERS FRANCE (CCEP FRANCE),343688016,7,6,"13, 31, 59, 83, 91, 92"
AIM GROUPE (AIM GROUPE),405650359,9,5,"14, 27, 28, 35, 50"
TECHNI DESOSS,377557640,6,5,"14, 28, 49, 53, 85"
DUC,722621166,11,5,"26, 30, 71, 77, 89"
BELL FRANCE,761200013,6,5,"01, 63, 69, 73, 94"
BROCELIANDE - ALH,412082224,6,5,"14, 22, 35, 42, 43"
GODARD-CHAMBON ET MARREL,312468861,13,5,"24, 46, 69, 75, 94"
DELPEYRAT (DSAS),645680026,9,5,"32, 40, 43, 76, 85"
D'AUCY FRANCE (D.Y.F.) (D.Y.F.),652008632,8,5,"29, 41, 45, 47, 56"
BONDUELLE EUROPE LONG LIFE (BELL),665580072,12,5,"40, 49, 59, 62, 80"
NOVANDIE,314603051,7,5,"28, 35, 62, 72, 76"
MONTS & TERROIRS,645450107,13,5,"01, 25, 39, 70, 73"
FROMAGERIES BEL PRODUCTION FRANCE (FBPF),493371595,8,5,"39, 41, 53, 72, 92"
FROMAGERIES LESCURE (E.L.S),794040956,5,5,"78, 79, 82, 85, 86"
BISCUITERIE DE CONCARNEAU,797413614,10,5,"22, 29, 35, 44, 85"
MARIE,327280368,5,5,"01, 29, 71, 72, 94"
STB (STALAVEN),452807100,6,5,"07, 19, 22, 85, 94"
ORCHIDEES MAISONS DE VIN,665480133,13,5,"18, 37, 41, 44, 49"
SOCIETE ANONYME DES EAUX MINERALES D EVIAN (S.A.E.M.E),797080850,10,5,"34, 42, 74, 92, 95"
ORANGINA SUNTORY FRANCE PRODUCTION (SUNTORY BEVERAGE & FOOD FRANCE),407512938,6,5,"13, 45, 69, 84, 93"
SCA LES BERGERS DU NORD EST,780233276,4,4,"02, 08, 57, 62"
BICHON G.L,867800161,4,4,"03, 29, 85, 86"
FIPSO INDUSTRIE,338172885,5,4,"12, 40, 64, 65"
SOCIETE VITREENNE D'ABATTAGE (SVA),775591563,7,4,"22, 35, 47, 56"
SOBEVAL,317707057,4,4,"24, 35, 39, 80"
LAFITTE,897050514,8,4,"33, 40, 64, 75"
SAVIEL FRANCE,414337402,5,4,"10, 26, 35, 47"
VALETTE FOIE GRAS (SPECIALITES DE LA BOURIANE + VALETTE),327843603,12,4,"24, 31, 46, 75"
AOSTE SNC OU A SNC,388818726,8,4,"38, 42, 69, 81"
LABEL'FRITE (LF),793179797,4,4,"06, 31, 34, 69"
MOUSLINE,572049500,4,4,"67, 69, 75, 80"
IRCA MANUFACTURING FRANCE (RAVIFRUIT),305305492,4,4,"26, 38, 75, 92"
CARGILL FRANCE,572099695,6,4,"35, 44, 50, 92"
LESIEUR,457208619,5,4,"13, 33, 59, 75"
LACTALIS GESTION LAIT,403074263,4,4,"01, 05, 35, 53"
LAITA,380656439,6,4,"22, 29, 44, 94"
B.G.,331339275,6,4,"52, 54, 72, 88"
ARMOR PROTEINES (),679200287,5,4,"17, 22, 35, 50"
LMT BISCUITERIES,379340151,10,4,"22, 25, 29, 35"
PATISSERIES GOURMANDES,302476106,9,4,"22, 29, 44, 56"
BISCOTTE PASQUIER,775609290,4,4,"42, 44, 49, 85"
OVOTEAM,484918362,5,4,"22, 28, 53, 56"
EUROFLOR DIFFUSION,379362908,6,4,"25, 69, 75, 90"
PROVA,582141990,5,4,"41, 45, 56, 93"
LES 3 CAVES (LES CAVES DU SEGALA),334215183,10,4,"12, 15, 19, 24"
PAGES VEDRENNE (PAGES VEDRENNE-ANOT-BARON DE CASTERAC-BLASON D'OR-BONNET-BOULAY-CASSISSIUM-CHATEAU PAULET-DARMONT- D),353821044,8,4,"19, 21, 43, 78"
TERROIRS DISTILLERS ARTISANAL BRANDS (LA BOUTIQUE DES SPIRITUEUX) (TDAB),892264573,4,4,"21, 67, 71, 84"
M H C S,509553459,12,4,"02, 10, 51, 75"
D PAUL MAS (TERAMAS MARO - MAS ROLLAND - ILE DU PIOCH) (DPM),422965160,13,4,"11, 30, 34, 66"
FRANCOIS LURTON (F. LURTON),349044081,6,4,"11, 33, 34, 66"
MONTE BACCO GROUP (LES CHAIS DE KIAREVA 34440),522426931,4,4,"11, 26, 81, 92"
VINOVALIE (CAVE DE LABASTIDE),491182192,13,4,"31, 46, 81, 82"
LES CAVES DE LA LOIRE,775609787,13,4,"37, 41, 44, 49"
ROXANE NORD (SEMA),382903490,9,4,"03, 29, 59, 69"
SOCIETE EXPLOITATION SOURCES ROXANE,095420014,5,4,"08, 57, 61, 72"
EUREAU SOURCES,440874923,5,4,"15, 37, 60, 84"
REFRESCO FRANCE (SITE DE DELIFRUITS),328024187,5,4,"21, 26, 42, 59"
ETABLISSEMENTS GEYER FRERES,360800742,4,4,"57, 74, 75, 83"
HUGUIER FRERES,582880225,9,3,"10, 51, 52"
KERMENE,496680018,6,3,"22, 35, 56"
LES ELEVEURS DE LA CHEVILLOTTE,612820860,4,3,"25, 57, 68"
UNITE VAL.ANIMAUX LOURDS TRUIES ELEV S.O,442467841,3,3,"32, 64, 81"
TOUTEBON (TOUTEBON),918898230,3,3,"35, 44, 49"
SELECTBOUCHERIE (HENRI BOUCHER),381639798,4,3,"59, 62, 80"
PRODUITS GASTRONOMIQUES DE LIMAGNE (PROGALIM),383262631,6,3,"03, 26, 63"
LES VOLAILLES DE SAINT MARS,327944187,6,3,"10, 44, 75"
SARL VOLAGRAIN,395303126,3,3,"24, 32, 81"
S N V,404432775,9,3,"41, 53, 61"
CAILLES ROBIN,316673987,3,3,"49, 79, 85"
COMPAGNIE MONTAGNE NOIRE,829323856,4,3,"11, 22, 81"
OCCITANE PLATS CUISINES,803782606,3,3,"11, 34, 75"
LES DUCS DE GASCOGNE,395620107,5,3,"13, 32, 75"
FOIE GRAS QUILLOT,381463892,4,3,"17, 33, 47"
COMPAGNIE MADRANGE,829323211,4,3,"22, 78, 87"
MAISON DUBERNET,434407623,6,3,"33, 40, 75"
SAGLAM FRANCE (SAGLAM FRANCE),524349099,3,3,"44, 53, 86"
JEAN LARNAUDIE,410252589,3,3,"46, 47, 75"
SINGLY,395254220,4,3,"75, 77, 94"
PATE CROUTE PIQUET'S,447724568,12,3,"02, 08, 51"
HERVE BAUDOIN,399013234,3,3,"02, 73, 88"
LES PRODUCTEURS DU LAURAGAIS (LA FERME DU LAURAGAIS),378794820,4,3,"11, 31, 81"
SALAISONS LABORIE ET FILS,389730821,4,3,"12, 15, 46"
SAS TESSON-CHALIER (MAISON MALBEC),828168740,4,3,"15, 43, 63"
LES BOUCHERIES DU BOCAGE (LES BOUCHERIES DU BOCAGE),850618919,3,3,"35, 50, 53"
ALTHO,397729591,4,3,"07, 56, 75"
MC CAIN ALIMENTAIRE,320442726,5,3,"51, 59, 62"
BONDUELLE TRAITEUR INTERNATIONAL (BTI),957802416,3,3,"10, 29, 69"
LES CRUDETTES,343127585,4,3,"13, 45, 66"
CONSERVES FRANCE,706220548,3,3,"13, 47, 84"
MATERNE,398404194,3,3,"02, 69, 92"
ANDROS (BONNE MAMAN - ANDROS FRANCE - BOIN - FRUIVAL),428682447,6,3,"19, 26, 46"
OTANTIK,908612906,4,3,"971, 972, 973"
LA COMPAGNIE DES SAVEURS,340623396,3,3,"41, 75, 83"
ETABLISSEMENTS BEILLEVAIRE,340677871,5,3,"01, 44, 69"
SOCIETE LA FERMIERE,055811996,3,3,"05, 13, 94"
OLGA,709200307,7,3,"14, 35, 74"
BLEDINA (LABORATOIRE GALLIA) (BSA),301374922,5,3,"19, 59, 69"
FAIRME,888970837,4,3,"28, 38, 69"
LAITERIE DE VARENNES,319450201,3,3,"36, 45, 49"
LA FROMAGEE JEAN YVES BORDIER,304454150,8,3,"35, 44, 94"
FROMAGERIE BOUCHET,797380086,6,3,"01, 25, 74"
LA FERME DE SIGY,794481861,4,3,"10, 77, 78"
FROMAGERIES DES CHAUMES,314830183,5,3,"24, 64, 78"
FROMAGE ET BEURRE,732028436,3,3,"25, 71, 73"
SOCIETE PAR ACTIONS SIMPLIFIEE DES FERMIERS REUNIS (S.A.S.F.R.),722008109,3,3,"27, 53, 92"
BONILAIT PROTEINES,781507108,3,3,"15, 63, 86"
SOGECOTEL,781597737,4,3,"06, 54, 57"
GG,511983322,5,3,"13, 75, 83"
TAGLAB (MOUSTACHE ARTISAN GLACIER),499005221,7,3,"22, 35, 75"
FRONERI FRANCE SAS,637121153,5,3,"29, 33, 75"
INTERSNACK FRANCE (VICO) (ISF),412581878,3,3,"02, 38, 93"
BISCUITERIE JACQUES DELAUNAY (BISCUITERIE JACQUES DELAUNAY),798065884,9,3,"14, 22, 76"
COLIBRI,393891825,3,3,"17, 35, 75"
MADELEINES BIJOU,770500346,4,3,"19, 33, 87"
BISCUITERIE MISTRAL (MISTRAL),542003629,7,3,"21, 25, 89"
O'ARA,327357158,4,3,"21, 57, 74"
MAISON BRIEUC,432930857,8,3,"22, 35, 44"
BISCUITERIE EMILE DELAUNAY (BISCUITERIE EMILE DELAUNAY),809261688,7,3,"22, 29, 56"
ETABLISSEMENTS LE STER,310227533,3,3,"22, 35, 56"
BISCUITERIE COMTOISE,432483188,8,3,"25, 39, 90"
BISCUIT INTERNATIONAL FRANCE,320737018,4,3,"29, 45, 82"
CONFISERIE PARIES,582721395,8,3,"33, 64, 75"
LA BISCUITERIE DE CHAMBORD,353403249,8,3,"37, 41, 45"
PAINSOL,086520301,3,3,"41, 81, 92"
UNION BISCUITS,794196030,4,3,"59, 62, 80"
REITZEL BRIAND,347464240,3,3,"41, 72, 75"
WILLIAM SAURIN PRODUCTION,830175295,4,3,"02, 77, 92"
ASIA GENERAL FOOD,383338142,3,3,"06, 51, 94"
LES ATELIERS DU GOUT,319331849,4,3,"16, 56, 76"
TIPIAK PLATS CUISINES SURGELES,304992043,3,3,"17, 29, 44"
COVI,391892171,3,3,"18, 44, 79"
GROUPE FRANCAISE DE GASTRONOMIE,558503371,3,3,"43, 67, 89"
AGIS,387744493,4,3,"44, 69, 84"
LUNA FOOD,848326807,4,3,"47, 75, 91"
MARIE SURGELES,525361465,3,3,"49, 79, 86"
ESPRI RESTAURATION (EPC),343397782,4,3,"53, 72, 91"
MSD EDP,919948018,3,3,"75, 93, 94"
ANGEL-JOBS.FR,841314719,3,3,"75, 78, 92"
AGROTECH (PRODUCTION INDUSTRIELLE DES METS ENDOGENES NATURELS DE TRADITION) (AGROTECH),802993667,4,3,"971, 972, 973"
LABORATOIRES SUPER DIET,450778022,4,3,"13, 59, 75"
ISIGNY SAINTE-MERE,317750818,3,3,"14, 50, 75"
NUTRISENS FRANCE,423700970,3,3,"21, 69, 71"
JLB PROCESS,422739326,3,3,"26, 38, 69"
BIO COLLOIDAL FRANCE,520441593,3,3,"53, 75, 78"
NUTRIBIO,326921814,3,3,"75, 80, 82"
MARLETTE,521502955,7,3,"17, 75, 78"
APIDIS,395269012,5,3,"21, 30, 74"
NEXIRA (CNI),344770870,4,3,"24, 76, 92"
LALLEMAND SPECIALTY CULTURES,818343600,4,3,"31, 35, 77"
TITOK,442657607,3,3,"33, 44, 85"
EDONIA,949848907,3,3,"33, 47, 91"
PEP,420800492,5,3,"41, 56, 62"
AGRO INGREDIENTS TECHNOLOGY (AIT),545650202,3,3,"60, 85, 91"
OVONOR,497080275,3,3,"62, 85, 86"
SDM SAS (SDM SAS),810458091,3,3,"69, 80, 84"
YNSECT,534948617,4,3,"75, 80, 91"
HAUKY,325844900,3,3,"75, 77, 94"
LES TISANES D'AGATHA,799645536,4,3,"92, 971, 972"
UNION DISTILLERIES MEDITERRANEE,483405247,5,3,"07, 30, 34"
COGNAC FERRAND,452392350,6,3,"16, 75, 92"
CAMPARI FRANCE (CAMPARI FRANCE) (CF),511042368,4,3,"16, 27, 75"
DISTILLERIE DE LA TOUR (MODIF: FAMILLES NAUD - MAITRE DISTILLATEURS DEPUIS 1923. AJOUT DE 9 NOMS COMMERCIAUX CF OBSERV),351427604,4,3,"16, 17, 32"
BACARDI-MARTINI PRODUCTION (BMP),399409259,4,3,"16, 34, 76"
MARIE BRIZARD WINE & SPIRITS FRANCE (MBRI),454200064,3,3,"16, 33, 94"
COINTREAU (MAISON COINTREAU),582143384,3,3,"16, 49, 75"
GRANDES DISTILLERIES PEUREUX,675850242,8,3,"67, 68, 70"
CMC,339549008,3,3,"01, 73, 83"
TERROIRS ET VIGNERONS DE CHAMPAGNE (CENTRE VINICOLE - CHAMPAGNE NICOLAS FEUILLATTE - CV-CNF - CHAMPAGNE CASTELNAU/SOCIETE DES PRODUCTEUR) (TEVC),775611924,4,3,"02, 51, 75"
CHAMPAGNE DEUTZ SA,335681359,9,3,"07, 26, 51"
CHAMPAGNE DE LA GRANDE CHARTE,978633188,3,3,"10, 51, 92"
CHEURLIN-ARNOULT,333231496,3,3,"10, 74, 83"
SERVICES VINICOLES-PE,312814601,4,3,"37, 41, 49"
COMPAGNIE FRANCAISE DES GRANDS VINS (CFGV),542095393,4,3,"49, 67, 77"
CHAMPAGNE LOUIS ROEDERER,335681169,10,3,"51, 75, 83"
SOC COOPER LANGUEDOC VIGNERONS,775555410,5,3,"11, 38, 69"
COMPAGNIE DES EAUX DE VIE ET LIQUEURS DE MONTMARTRE (CEVLM),911751444,3,3,"27, 75, 78"
SAS LIONEL OSMIN ET CIE,522621846,3,3,"31, 32, 64"
PLAIMONT DIT PRODUCTEURS VIGNOBLE DE GASCOGNE DIT VIGNERONS RECOLTANTS DU VIC-BILH DIT PLAIMONT TERROIRS & C,317685238,4,3,"32, 40, 64"
SOCIETE COOP VINICOLE DE BESTHEIM,778887521,5,3,"33, 67, 68"
"LACHETEAU (DENIS MARCHAIS, LA BOISELIERE, MARCEL MARTIN, JEAN BALMONT, PHILIPPE DE CHARMILLE, MARQUIS DE GOULAI)",382794865,9,3,"37, 44, 49"
COOPERATIVE LES CELLIERS ASSOCIES (LES CELLIERSASSOCIES),777422049,3,3,"14, 22, 50"
CRISTAL ROC,576750582,3,3,"44, 61, 72"
SOCIETE MARTINIQUAISE DES EAUX DE SOURCE (SOMES),305306169,5,3,"971, 972, 973"
BIOMERE (JUBILES),830942629,3,3,"44, 92, 94"
SODELY,448512384,4,2,"01, 69"
CENTRE VIANDES BEAUVALLET FILS,086780202,2,2,"01, 45"
C.M.V. VIANDES,814287009,2,2,"01, 74"
PICHAT CHAPOLARD,969506823,2,2,"01, 69"
LA VIANDE CHAUNOISE,876120072,2,2,"02, 42"
ETABLISSEMENTS PUIGRENIER (MAISON PUIGRENIER),327852596,5,2,"03, 18"
SOUFFERANT VIANDES,305730004,3,2,"03, 71"
JOASSAN FRERES,420479396,2,2,"04, 13"
SAS DUFOUR,829949940,2,2,"04, 83"
LA BOUCHERIE GOURMANDE DES HALLES (LA BOUCHERIE GOURMANDE DES HALLES),905042958,2,2,"06, 83"
MICHEL PAILHAS,424171726,2,2,"11, 31"
BOUCHERIE CHARCUTERIE BOUSQUET,427280136,2,2,"12, 31"
SARL  B A V S,752423004,2,2,"12, 34"
ACTION GLOBAL,851675199,2,2,"12, 22"
ABATTOIR DU SUD AVEYRON SAINT AFFRIQUE,953712668,2,2,"12, 13"
ALAZARD ET ROUX,736180092,2,2,"13, 30"
MEAT YOU,812077113,3,2,"16, 86"
VIANDE DE LA MARCHE,721820843,2,2,"16, 86"
DIPSA PAYS DE LA LOIRE (DIPSA PAYS DE LA LOIRE),483221016,2,2,"17, 49"
GASCOGNE LIMOUSIN VIANDES (GLV),341769974,2,2,"19, 64"
SOL,529183790,2,2,"19, 29"
SARL SPV,433496338,2,2,"19, 24"
SELEVIANDES,441903408,3,2,"21, 71"
SAS KERVADEC (MAISON KERVADEC),322314832,2,2,"22, 56"
SOCIETE BRIECOISE D'ABATTAGE (SBA),801960394,2,2,"22, 29"
LAURIAL,393321476,2,2,"22, 33"
MASSIWA LOUDEAC,904981271,2,2,"22, 56"
PAYSANS & CONSOMMATEURS,910001072,2,2,"23, 75"
DES CHAMPS FERRES (LE TUYE DES CHAMPS FERRES),533940326,2,2,"25, 70"
TENDRIADE,396020232,6,2,"26, 35"
ABATTOIRS BOUCHERS SERVICES EN ABREGE A.B.S.,528177413,2,2,"26, 87"
CARNEVIA,922050042,2,2,"26, 69"
LES HAUTS DECOUPE,828636589,2,2,"28, 62"
DESTREL VIANDES (DESTREL VIANDES),888886751,3,2,"29, 46"
CODEVIA,408753903,3,2,"29, 82"
GALLAIS VIANDES,432033918,2,2,"29, 35"
ARCADIE VIANDES (ARCADIE VIANDES),888889060,2,2,"29, 64"
AGRO OUEST SERVICES,483644035,2,2,"29, 44"
SA LANGUEDOC LOZERE VIANDE (SALLV),392414793,2,2,"30, 48"
SAS DU MAS DE QUET,894062512,2,2,"30, 34"
BERNARD SANCHOU,323258111,3,2,"0[, 33"
LBDB,518843818,3,2,"33, 40"
DE ROUSSES,851449785,3,2,"34, 48"
ETIENNE BRIZOUX,303983878,3,2,"35, 65"
AMURAL PRODUCTIONS,493126783,2,2,"35, 68"
RENAUD VIANDES,305095283,2,2,"35, 46"
MAISON AMIE,324601855,2,2,"35, 50"
LAURENT GOINEAU,484613377,2,2,"35, 85"
GIFFAUD VIANDES TOURS,511227498,2,2,"37, 85"
CLAVIERE VIANDES SA,380230573,2,2,"39, 71"
BOUCHERIE LARCHER,917551848,2,2,"42, 43"
D.V.P. DECOUPE VIANDES PRODUCTEUR,822829990,2,2,"44, 85"
BRUNO JUILLE,434917183,2,2,"0[, 53"
HOLVIA PORC,510408230,2,2,"44, 53"
CHEZ BOUCHER,979785987,2,2,"45, 75"
SARL RASCOL ANDRE ET FILS,333658425,3,2,"46, 81"
BOUCHERIE ST PIERRE,953480282,2,2,"49, 72"
SOVILEG,425016904,2,2,"49, 79"
SARL LA CHEVILLE DU COTENTIN (REBOUX-L'AGNEAU MAYENNAIS),498994755,2,2,"50, 53"
EUROBOYAUX,814643185,2,2,"57, 88"
LAPINS ET CIE,478792443,2,2,"57, 79"
S.N.P.R. (PRODUITS RAYMOND),848588224,2,2,"57, 76"
SERVIAND,391963972,2,2,"59, 72"
MEAT DESOSS,429644453,2,2,"59, 62"
ETS PRUVOST LEROY,332107432,2,2,"59, 62"
BDS MAGNY,910580067,2,2,"60, 95"
L'ATELIER DE LA VILLA,848661385,2,2,"63, 76"
SICA PYRENEENNE BETAIL ET VIANDE,777349341,6,2,"64, 65"
NEMROD ALSACE (NEMROD ALSACE),803843176,2,2,"68, 93"
ALP' VIANDES SN,327126967,3,2,"73, 83"
OLBA (CHEZ OLIVIER & BAPTISTE),911489862,2,2,"76, 80"
SAJF,951267566,2,2,"78, 91"
JOSE FENGAROL (SI L'ALOYAU),799464615,2,2,"92, 971"
SYNDICAT MIXTE DE L'ABATTAGE EN CORSE,252010087,8,2,"2A, 2B"
CLAUDE ANGELI,419710033,2,2,"0[, 2B"
JEAN RUBENS ([ND]),413689969,2,2,"0[, 974"
FRANCE SELECT (VOLAILLES DE L'EUROPEAIN),301213211,2,2,"01, 38"
S2M VOLAILLES,900933888,2,2,"01, 75"
LA FERME SAMKAT HALLAL,538107855,2,2,"01, 71"
ALLIER VOLAILLES MAISON DAVID ET PEROT,976120279,2,2,"03, 63"
ARRIVE AUVERGNE,432908614,2,2,"03, 85"
SICA LES FINS GOURMETS (SICA SAS LES FINS GOURMETS),352750434,3,2,"12, 46"
DAVID OTMESGUINE (OT' CORP INDUSTRY),793144551,2,2,"13, 35"
DOMAINE FAMILIAL GOUZILH,824190334,2,2,"17, 33"
LA QUERCYNOISE,439772948,4,2,"19, 46"
VOLPIN,490854411,2,2,"22, 44"
GALLIANCE SAINT NICOLAS DU PELEM,503932758,2,2,"22, 44"
LE CANARD EN BOITE,853735942,2,2,"24, 47"
BLASON D'OR SAS,318055167,2,2,"24, 31"
SFV,489468264,2,2,"29, 74"
SOCIETE INDUSTRIELLE D ABATTAGE DU LEON (SIALE),353128325,2,2,"29, 49"
VOLEFI,817407919,2,2,"29, 89"
SARL BETIS FOIE GRAS,398535013,3,2,"31, 32"
SAS LA FERME D'ENJACQUET,838982445,4,2,"32, 33"
MAISON TETE,408610707,2,2,"32, 45"
LDC SUD-OUEST,303527501,2,2,"33, 40"
SARL CHRIST (VIGNAL GASTRONOMIE),789631629,2,2,"33, 47"
SA DES ETABLISSEMENTS PARIS,307338160,2,2,"40, 64"
FERME DE JEANSARTHE,487654808,2,2,"40, 64"
VALEYRE SAS,341900124,2,2,"42, 73"
ERNEST SOULARD,378403984,4,2,"44, 85"
ETABLISSEMENTS BODIN ET FILS,331046466,2,2,"44, 85"
GALLIANCE LANGUIDIC,504001504,2,2,"44, 56"
GALLIANCE INDUSTRIE SEVRIENNE,344592357,2,2,"44, 79"
VALMEAT,522475490,2,2,"44, 74"
SAS GUILLET,666980156,2,2,"49, 93"
VERAZZI,403936545,2,2,"57, 68"
LE COQ NORMAND SARL,439561697,2,2,"61, 93"
LDC SABLE,444502025,5,2,"72, 91"
SEETAA DISTRIBUTION,309033116,3,2,"79, 94"
LES FERMIERS OCCITANS,777335571,2,2,"81, 82"
MARLENE SMITE,410124515,2,2,"971, 972"
SOCIETE NOUVELLE UTP,351941018,3,2,"01, 38"
CRYSTAL,485115018,2,2,"01, 42"
VARACHAUX,968202036,3,2,"06, 91"
COMPAGNIE CALIXTE,904724127,2,2,"07, 22"
VIANDES LEBON,527642854,4,2,"10, 77"
AT FRANCE,348832478,2,2,"10, 56"
ETS SUDREAU,385314752,5,2,"13, 46"
LE CAYROLAIS (SAPAC),406020180,4,2,"15, 75"
PORCENTRE,433018694,3,2,"15, 63"
LA CAMPAGNOISE,314319724,4,2,"19, 46"
SO'HAM SUD-OUEST,841889827,2,2,"19, 64"
DANIEL CLOUET,339092181,2,2,"19, 46"
JULIEN MACK,016450298,2,2,"21, 92"
COMPAGNIE LAMPAULAISE DE SALAISON,829335108,3,2,"22, 29"
COMPAGNIE ISTURAI,904686748,2,2,"22, 64"
COMPAGNIE PAUL PREDAULT,829324334,2,2,"22, 95"
LOU GASCOUN (LOU GASCOUN MERCADIER),350661401,3,2,"24, 33"
DECLINAISON (EURL DECLINAISON),347848178,2,2,"24, 93"
LE SALOIR DU PERIGORD,421215153,2,2,"24, 34"
MON COCHON CHARCUTERIE PAYSANNE,887527240,2,2,"24, 47"
LAM,433747144,2,2,"28, 94"
PORCKEPIG,313610040,2,2,"28, 82"
SOCIETE MORLAISIENNE SALAISONS (SMS),352368740,2,2,"29, 56"
TRACOVAL,444462840,2,2,"29, 62"
GAILHOU ET DURDOS - FERME CARRAU (GAILHOU ET DURDOS - FERME CARRAU),322940891,5,2,"31, 65"
COMPTOIR DES VIANDES CHARCUTIERES,524358439,2,2,"31, 34"
GUILLAUME SAINTE-MARIE,442924171,2,2,"32, 33"
NICOLE CREMOUX (MERQUEY),379059785,3,2,"33, 46"
L'ATELIER DU VALOIS,420072712,2,2,"34, 60"
SALAISONS CELTIQUES,862500279,3,2,"35, 56"
LES SALAISONS DU DOUESY,342413291,2,2,"35, 59"
MAITRE JACQUES,424679520,2,2,"35, 71"
MAISON MONTAUZER,562720896,5,2,"40, 64"
S.A.R.L. FERME DE BELESLOU,391969540,2,2,"40, 64"
ETABLISSEMENTS CASTAING ET FILS,896150042,2,2,"40, 64"
ETABLISSEMENTS MERLE ET COMPAGNIE,886350040,3,2,"42, 69"
ETABLISSEMENTS ROCHEBILLARD ET BLEIN,405880758,3,2,"42, 74"
LES MONTS DE LA ROCHE,390618890,2,2,"43, 75"
LES 2 L,415260512,2,2,"44, 971"
CARGILL FOODS FRANCE,387589179,2,2,"45, 92"
VIANDIST,477871495,3,2,"54, 88"
